object_id,x,y,object_type,Random marker (continuous),Random marker (categorical),Marker (continuous),Marker (categorical),Distance from reference point,points
0,460.4424033304,579.1031052518,point,0.07763424822711018,A,-0.9939235600773763,B,5076.1445788595975,True
2,296.9659401181,409.7143040957,point,-0.6056507078808582,B,0.9986400806302526,A,1702.7189911662342,True
4,-122.482496962,-978.5594264263,point,0.8208125145771534,A,-0.8129242676274482,B,8030.712205607987,True
5,386.6409907531,-44.9758919418,point,0.39196246953103264,A,-0.8215664719086669,B,1246.671746108981,True
6,-906.0461051037,82.6760893471,point,-0.21593668041553338,B,-0.3317042858306626,B,6745.266983325183,True
7,937.3857669194,-359.196511284,point,-0.7312218489461768,B,0.9994244803629377,A,9232.210969906386,True
8,-707.4019398763,-597.3628158819,point,-0.20605948249745176,B,-0.9969788956587918,B,7360.656956789013,True
10,674.3191369216,207.0730941017,point,-0.7165335811286888,B,0.7624457916718321,A,4627.943578274085,True
11,616.6324506384,-733.451994867,point,-0.1731874456720679,B,-0.5756950531191954,B,8744.41019680151,True
13,319.1616414965,726.4780886213,point,0.7323789405191947,A,0.10297669206466574,A,5290.254805664809,True
14,-265.203814426,-473.1419021853,point,0.9769144977122313,A,0.9778003240686417,A,3179.0921097278547,True
15,491.8372784394,-854.4410888404,point,-0.03509266934224131,B,0.430953250149706,A,8617.329857008122,True
19,934.9419947627,-289.6615043048,point,0.007845376136913274,A,0.961111794987062,A,9269.857921500972,True
21,6.6956339859,103.8405065764,point,0.46654241095049676,A,0.8953956551797432,A,133.11827775352526,True
22,-185.8270518336,-222.07080216,point,-0.6059003909678644,B,-0.8682209891261754,B,627.7895692418876,True
28,170.8283961207,-641.4240254044,point,-0.6473191284798647,B,-0.8016645802921025,B,3658.3022236307906,True
29,-297.7193411339,-556.4406968543,point,0.39588399978814226,A,0.9560912541152183,A,3240.1167479450414,True
30,287.6657529366,-530.8923053509,point,-0.9146077671365171,B,-0.18672131539091388,B,3747.372340089281,True
32,-119.6124199757,-968.2610162381,point,-0.7944730405503035,B,-0.8291627104942554,B,8034.126471212517,True
35,299.8149008148,385.1333337746,point,0.3044824608331058,A,0.9865171522295955,A,1676.7323431288805,True
38,543.6556413035,-800.7559763826,point,-0.6373666060747976,B,0.03131628481714252,A,8667.037155214854,True
39,-880.0897377056,-48.9989898925,point,0.779412151961135,A,0.4787766355192757,A,6845.751419124919,True
43,745.345609366,-531.1260329456,point,-0.9629495253159368,B,-0.6815010392646889,B,8957.8094271327,True
44,422.015933494,26.7312558756,point,0.9377967129872806,A,-0.9996182886858342,B,1322.7846324233544,True
50,148.8931189756,-670.3045199143,point,-0.6694407649902558,B,-0.8423830928010583,B,3649.708339950526,True
51,-416.4022863438,-319.5575906063,point,-0.2566099129884567,B,-0.44365320379947654,B,2960.7684378733084,True
52,-474.075310277,202.8273760113,point,0.04090891979605704,A,0.9977182375443768,A,2458.550276019256,True
53,176.3918208031,-373.7529233587,point,-0.2789615546938822,B,0.9578143364359137,A,977.4576010277138,True
61,642.9945123446,23.2629626041,point,-0.05475527831305649,B,-0.6400256739730092,B,4440.549619637371,True
62,-314.5410249549,356.0681244517,point,-0.7735296285535374,B,-0.23394877051848403,B,2233.610247511018,True
64,21.5892714537,826.0237712125,point,-0.43526692797006095,B,0.7062709271212765,A,5560.760762286228,True
69,-297.8227183527,-160.8852970757,point,0.38842953583742257,A,-0.9362661789279099,B,608.560683355584,True
70,-543.6929668166,-292.5854620225,point,0.9521656951489821,A,-0.5692818949770926,B,2943.2530912423376,True
71,-517.8787042206,-19.4754613633,point,0.3312242192347623,A,-0.16767060777037132,B,2659.1537909124445,True
74,497.657447437,437.3226261014,point,0.985557325492675,A,-0.21021023927358232,B,4926.299339475875,True
75,-139.0156435579,-582.6274451813,point,-0.2842683642650987,B,0.2964969661544374,A,3356.797355499885,True
83,470.9019995674,53.7605914831,point,-0.8649647387845698,B,-0.8573478142052549,B,1384.3530921181057,True
87,-183.2805274962,161.0033553634,point,-0.6247689097048363,B,0.31011734560375703,A,339.1531431206217,True
88,256.9825960425,-649.8162812846,point,0.4570098919569636,A,-0.21979182654490934,B,3743.3190554513944,True
91,419.009464441,-781.2380986437,point,-0.86895158475528,B,0.8824781690303957,A,8541.063102769198,True
93,-525.7747202512,619.0082112607,point,0.6554565341045346,A,0.42598572216693276,A,6084.664030188026,True
95,27.1204496278,736.0281780626,point,0.1925109077492262,A,0.9502243941851399,A,5504.392137889434,True
96,-168.4707857463,-267.7754772105,point,0.9457736537347803,A,-0.6187170901584244,B,673.929199101684,True
99,338.5809294365,646.7889307828,point,-0.7327479868562401,B,-0.565897913976922,B,5205.693027600069,True
101,-888.0321533284,113.4473542296,point,-0.8302503279249125,B,-0.6062824827927309,B,6707.674824791096,True
103,-284.881392197,379.0125471264,point,-0.5982503360278977,B,-0.4922461089507909,B,2200.1865196715125,True
104,-739.0434813336,-593.1214952991,point,-0.9376613675839793,B,-0.9992697102039831,B,7355.913192133298,True
105,322.0401096961,-842.7242715531,point,0.15988748644953943,A,0.9414898180228056,A,8441.047442648189,True
107,-768.8129243368,-210.127825183,point,0.46244221937059105,A,0.9955416132481145,A,6963.000036481365,True
111,-47.8752164404,702.7639380926,point,0.6452562204880328,A,0.6558540068288682,A,5569.029172259115,True
115,29.1434841851,-901.1528248216,point,-0.6898326916545789,B,-0.8856789452007438,B,8163.250091642098,True
117,381.1417930187,40.5595136055,point,-0.6924709415751813,B,-0.994844693555439,B,1307.2787310899955,True
119,393.8410253432,314.1435521665,point,0.01647582424882632,A,0.6600053328648376,A,1594.4635768511234,True
122,-425.5885835193,176.8243634268,point,0.44384293217478077,A,0.9940937535938049,A,2437.393606929659,True
123,255.6615923211,-162.3013344788,point,0.17582743878413565,A,0.5000930320929377,A,1068.128610915788,True
125,246.85349791,377.6803804877,point,0.4876264327220112,A,0.995168418665195,A,1684.6591118264475,True
126,-259.6855236793,26.7324733524,point,0.7560265201646912,A,-0.4018400520213825,B,426.6141651242518,True
127,-66.6217336846,-590.7699188403,point,-0.46153835931164044,B,-0.20757333495016272,B,3418.011298838115,True
131,508.7946826305,624.7091882787,point,0.46497406312328926,A,-0.9853441566068103,B,5109.9500610955165,True
132,436.6959789008,-432.7660954711,point,-0.08203166379222249,B,0.9483798307434442,A,3919.6816845225026,True
135,8.7480429806,812.861886421,point,0.6021564550846632,A,0.7083753320861493,A,5560.4035230577965,True
142,225.1904133824,-864.3955309159,point,-0.03812284122246146,B,0.3501976791931539,A,8336.7384621165,True
145,-369.772222386,252.3297219793,point,0.48263946671356317,A,0.6239444732859822,A,2342.800323460547,True
155,345.397401768,-77.3475512625,point,-0.9537386191154484,B,-0.4883639138512712,B,1192.1990230293222,True
157,-868.3226035544,78.6422692116,point,-0.15171427403560922,B,-0.5623272035122462,B,6714.176439372405,True
166,-779.0453370864,-148.9021014915,point,0.30147804326330085,A,0.8135414721975622,A,6899.866122501948,True
168,-650.1781518002,-611.5182132191,point,-0.8521706219704659,B,-0.9539500775566411,B,7387.885577175296,True
169,-472.8461048657,560.2567890957,point,0.021576437593540332,A,0.09717932922711602,A,6043.537847729902,True
172,-471.3646069016,-344.0487001884,point,-0.5345478996909363,B,-0.30902679564471996,B,2978.2285989212637,True
173,-639.23809934,543.0997109144,point,-0.12846103867082248,B,0.994074310251937,A,6207.283309585951,True
176,-831.9716982198,-184.5516384044,point,0.5887952008518067,A,0.9585351360455083,A,6939.658127937783,True
177,949.5388942486,-298.927041322,point,-0.6227944365921765,B,0.9115026584959739,A,9287.147214454086,True
178,445.3756452594,-509.9373715391,point,0.6010741991864177,A,0.9322183084083269,A,3913.9705742097444,True
180,786.6306701823,-674.0463011392,point,0.9578804330535566,A,-0.7777787232343794,B,8940.85196088657,True
181,-203.5861458736,-916.1251089403,point,0.9875569347443565,A,-0.15491409548891708,B,7935.478346869147,True
183,373.2026268969,47.0195270414,point,0.24852929999726725,A,-0.9977116144469007,B,1311.3491450848735,True
184,-364.6080101797,782.6036597379,point,-0.5940806754967609,B,-0.8565006276451851,B,5908.443746753775,True
188,-720.4744829174,503.0126345403,point,0.44631400766960483,A,0.7661209300506677,A,6304.114978085834,True
192,453.7292427191,-853.7807264112,point,-0.8191285065702352,B,0.6856374467938889,A,8580.138241485018,True
196,-640.5392402571,-711.5522803284,point,-0.2085570819704079,B,-0.3896687398936676,B,7491.789743808024,True
197,-610.5772262028,15.109014502,point,-0.6454756181329353,B,-0.4406363528899135,B,2693.6947208299875,True
198,-263.3670679957,56.3379531731,point,0.04059801386236761,A,-0.3331274751272953,B,417.7453471042974,True
201,347.0850033863,100.0296607767,point,0.24812688590135257,A,-0.9188939827269565,B,1368.1323488574747,True
202,140.7802319374,-552.0297014333,point,0.21871353916763403,A,-0.9905804127580013,B,3597.899286185131,True
203,-808.4736309714,-401.593874212,point,0.9813012010308053,A,-0.01933506967730135,B,7165.151603136682,True
