X,Y,Z,Wnt1,Wnt2,Wnt2B,Wnt3,Wnt3A,Wnt4,Wnt5A,Wnt6,Wnt7A,Wnt7B,Wnt10B,Wnt11,Wnt16,Fzd1,Fzd3,Fzd4,Fzd5,Fzd6,Fzd8,Fzd9,Fzd10
213.281,133.496,-0.209486,90.79591836734694,,102.6,118.3529411764706,95.0,109.14754098360656,103.0,98.20833333333333,92.39252336448598,108.83333333333333,114.0,,109.75,,97.375,,97.74358974358974,109.32,88.5625,110.25,118.0909090909091
203.98,136.902,-0.378041,95.76923076923077,,102.88888888888889,118.05,126.0,106.6029411764706,108.1,96.1951219512195,86.79591836734694,111.66666666666667,113.0,,109.88888888888889,80.5,104.88888888888889,,95.18888888888888,109.96,91.84210526315789,111.92105263157895,111.07142857142857
218.212,139.704,-0.365156,98.65079365079364,102.5,103.78571428571429,119.66666666666667,78.0,107.82608695652173,91.0,94.98333333333333,88.71538461538462,104.5,115.33333333333333,,116.45454545454545,95.0,102.44117647058823,,97.39516129032258,110.4,89.85714285714286,111.09677419354838,107.55
205.376,125.974,1.54963,76.48484848484848,,126.0,112.1,108.5,106.69135802469135,103.37931034482759,97.36363636363636,90.86746987951807,111.33333333333333,111.0,,109.70588235294117,98.0,102.62962962962963,,101.5,109.6875,93.23076923076923,108.48,121.0
198.293,130.095,0.546358,85.02857142857142,,113.0,116.3913043478261,117.33333333333333,108.84848484848484,107.62962962962963,97.27586206896552,83.50704225352112,107.0,110.22222222222223,,108.1,78.0,103.55882352941177,,100.75342465753425,109.08888888888889,92.28571428571429,106.28947368421052,121.4
206.786,131.146,-0.0218537,87.0754716981132,,109.5,115.875,126.0,106.8082191780822,103.5,98.71428571428571,90.02083333333333,114.0,117.0,,104.8,126.0,106.875,,102.6258064516129,110.25531914893617,88.0,110.41379310344827,119.0
214.965,128.798,0.750224,73.79310344827586,,93.5,118.42857142857143,99.75,107.8,102.625,100.87096774193549,95.02020202020202,109.66666666666667,104.57142857142857,,110.63636363636364,114.0,113.88888888888889,,98.14356435643565,111.14754098360656,85.38461538461539,112.33333333333333,119.75
222.417,133.794,-0.098837,91.36666666666666,91.0,93.0,120.76923076923077,107.0,108.5,112.25,97.93023255813954,92.18348623853211,106.5,101.33333333333333,,117.2,102.25,106.80952380952381,,98.7258064516129,111.74509803921569,86.57894736842105,108.85714285714286,111.11111111111111
225.016,129.934,1.14645,78.57142857142857,,84.5,116.27777777777777,107.0,107.3,110.46153846153847,94.80555555555556,92.21505376344086,112.2,105.125,,113.9090909090909,92.21428571428571,105.0909090909091,,97.4888888888889,109.10714285714286,92.91304347826087,107.6875,107.0909090909091
230.66,134.586,0.595115,90.75,121.0,95.75,114.85714285714286,109.33333333333333,105.06666666666666,112.25,95.71428571428571,89.39,114.14285714285714,101.625,,110.58333333333333,95.35,102.78125,,92.86060606060606,107.64444444444445,95.57142857142857,105.89473684210526,104.35714285714286
192.152,134.657,0.333901,84.41304347826087,,95.5,116.05263157894737,95.5,109.25,111.375,96.5,80.52777777777777,105.6,99.85714285714286,,109.16666666666667,97.85714285714286,99.7560975609756,,95.37724550898204,108.75,92.16666666666667,108.1891891891892,107.44444444444444
229.363,139.477,-0.156857,98.59183673469387,106.0,105.23076923076923,112.875,104.75,107.675,107.0,96.33333333333333,88.16260162601625,114.33333333333333,96.75,,112.0,95.0,104.35135135135135,100.0,94.29268292682927,109.72222222222223,91.94444444444444,108.48,102.5
196.32,143.113,-0.353478,93.38028169014085,121.0,110.76,110.6923076923077,120.0,106.28985507246377,121.0,99.90163934426229,79.58571428571429,101.66666666666667,104.625,54.0,112.6,90.47826086956522,99.94736842105263,,86.67073170731707,110.11111111111111,99.4,105.58064516129032,104.71428571428571
188.271,139.921,0.50176,87.02380952380952,,105.05882352941177,115.0,98.0,108.29166666666667,110.5,101.09302325581395,77.74074074074075,107.0,106.44444444444444,66.0,105.1875,93.33333333333333,95.65789473684211,,94.09836065573771,111.34210526315789,102.55555555555556,109.26666666666667,98.72727272727273
209.028,148.954,-0.305411,99.44086021505376,,104.25714285714285,111.42857142857143,96.0,107.17948717948718,92.5,97.36842105263158,77.51612903225806,117.33333333333333,116.73333333333333,,120.0,87.03703703703704,104.44827586206897,,73.96491228070175,106.79166666666667,95.27272727272727,112.23333333333333,95.46153846153847
235.972,140.287,1.38798,91.68085106382979,121.0,105.7,111.72727272727273,114.0,109.24489795918367,,100.98,84.0,112.375,111.125,,106.5,100.62068965517241,102.88095238095238,108.28571428571429,86.83225806451613,109.0,95.21739130434783,103.75,105.58333333333333
230.418,146.888,0.0356867,97.55223880597015,96.66666666666667,108.25806451612904,105.625,98.66666666666667,110.94871794871794,,101.10810810810811,83.04395604395604,106.33333333333333,115.44444444444444,,126.0,98.25,102.19607843137256,100.0,91.82,109.27777777777777,92.25,107.48,103.46153846153847
233.753,147.241,0.860529,98.16923076923077,106.0,107.3529411764706,108.70588235294117,110.33333333333333,113.46153846153847,,100.75925925925925,80.72368421052632,109.11111111111111,117.77777777777777,,126.0,98.5609756097561,102.0,110.75,88.42207792207792,111.16666666666667,96.55,108.1923076923077,108.84615384615384
223.327,146.71,-0.384265,101.21176470588236,99.0,108.6923076923077,112.42857142857143,106.0,110.02631578947368,,97.44,84.21238938053098,104.6,114.0,,119.16666666666667,89.75,102.31818181818181,,93.01739130434783,111.46153846153847,92.5625,110.65517241379311,107.70588235294117
192.958,148.187,-0.0783421,95.56923076923077,121.0,111.06896551724138,100.875,114.0,102.421875,109.0,101.07692307692308,83.2,102.6,111.75,54.0,107.0,91.33333333333333,98.42424242424242,,82.53333333333333,109.35897435897436,102.54166666666667,105.80645161290323,102.57142857142857
200.701,152.28,-0.24426,99.32467532467533,121.0,110.25,103.8125,118.0,106.43636363636364,108.53333333333333,100.67441860465117,80.51764705882353,107.0,114.25,54.0,91.0,87.92592592592592,102.96875,,78.51282051282051,104.97368421052632,108.22222222222223,109.76744186046511,100.54545454545455
187.098,145.943,0.982416,95.83050847457628,121.0,108.29166666666667,103.66666666666667,117.5,105.02941176470588,106.0,106.05,79.07894736842105,108.75,102.36363636363636,54.0,101.875,92.43478260869566,100.44444444444444,,84.65079365079364,109.82222222222222,105.41176470588235,106.83870967741936,103.76923076923077
221.454,153.296,-0.0924606,98.13541666666667,84.5,108.375,111.08333333333333,101.66666666666667,111.30232558139535,78.0,100.72727272727273,81.67415730337079,116.33333333333333,107.41666666666667,,108.5,88.96153846153847,100.09677419354838,,90.60344827586206,109.93103448275862,96.4,109.05882352941177,106.16666666666667
215.498,152.583,-0.253053,99.41176470588235,78.0,105.88888888888889,108.9090909090909,99.75,110.57142857142857,,98.57692307692308,82.23076923076923,121.2,109.6,,,91.6923076923077,105.61904761904762,,78.66666666666667,111.6,89.25,110.86666666666666,105.64285714285714
195.851,154.187,0.368287,97.95588235294117,121.0,110.5925925925926,98.33333333333333,114.0,103.76363636363637,106.0,104.67368421052632,83.125,106.66666666666667,110.875,62.0,91.0,86.06666666666666,102.4375,,82.79166666666667,104.79411764705883,107.45454545454545,110.23255813953489,103.07692307692308
191.164,152.31,0.879439,99.109375,121.0,108.07142857142857,92.0,114.0,101.22222222222223,107.66666666666667,103.76595744680851,82.23076923076923,106.66666666666667,109.71428571428571,62.0,99.0,87.0,100.25806451612904,,88.5,107.5,104.20833333333333,107.73170731707317,104.23076923076923
205.412,155.602,-0.0511582,97.1590909090909,,105.33333333333333,108.46666666666667,114.0,106.08771929824562,101.8125,101.94318181818181,79.38297872340425,100.8,117.41666666666667,,91.0,89.85714285714286,106.16666666666667,,75.39393939393939,104.0,107.83333333333333,114.45945945945945,99.71428571428571
210.35,157.638,0.615833,98.7741935483871,,103.06896551724138,109.9375,106.75,109.67241379310344,96.85714285714286,100.50666666666666,80.92631578947369,100.8,114.8,73.0,,87.5,103.0,,75.59375,105.65714285714286,102.0,112.43333333333334,104.75
226.619,155.211,0.738611,99.36781609195403,96.66666666666667,111.87878787878788,109.2,91.0,111.8409090909091,78.0,100.27027027027027,82.8082191780822,106.0,111.7,,108.5,91.34285714285714,103.6923076923077,,92.68852459016394,108.64864864864865,99.5,105.17647058823529,101.25
201.596,157.327,0.718983,96.78947368421052,,110.4,105.1875,,107.0,105.2,102.5632183908046,79.23456790123457,99.0,114.8,70.0,91.0,93.58333333333333,103.78787878787878,,78.38461538461539,102.72222222222223,106.61538461538461,112.46666666666667,98.33333333333333
220.422,160.508,1.85047,95.58490566037736,,106.28,112.3,,110.88709677419355,107.5,97.18,85.88297872340425,117.33333333333333,108.375,,91.0,89.9090909090909,102.03846153846153,,75.0,109.55813953488372,99.5625,109.65,108.88888888888889
219.1,126.449,1.765,67.66666666666667,,93.5,113.9,97.33333333333333,109.04166666666667,108.75,93.15625,95.08695652173913,110.27272727272727,104.27272727272727,,109.11111111111111,87.33333333333333,98.54545454545455,,96.17435897435898,110.63013698630137,85.93333333333334,116.05882352941177,122.5
228.055,127.981,2.46989,73.28571428571429,,78.0,112.52,107.0,105.86153846153846,104.5,92.33333333333333,92.17391304347827,113.3,104.25,,106.375,94.24,100.85714285714286,,95.03048780487805,107.88709677419355,93.23809523809524,107.375,99.0
235.136,131.476,3.18621,83.85714285714286,121.0,84.5,112.2,107.0,104.35714285714286,107.5,96.72222222222223,89.67708333333333,120.25,101.66666666666667,,101.5,94.45454545454545,105.41025641025641,105.5,91.19875776397515,105.82,96.15,103.3913043478261,103.27272727272727
184.991,132.473,2.48212,77.6,,97.4,110.5,102.75,111.87037037037037,113.2,96.96774193548387,72.03333333333333,99.8,106.92307692307692,66.0,102.66666666666667,95.10526315789474,97.0,,100.78636363636363,109.1590909090909,97.55555555555556,108.55172413793103,101.16666666666667
